"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2011-5-1","1,536.80","1,570.50","1,575.90","1,464.90","259.76K","-1.30%"
"2011-4-1","1,557.00","1,433.80","1,565.40","1,413.50","2.57M","8.13%"
"2011-3-1","1,439.90","1,415.50","1,448.50","1,384.90","298.53K","2.08%"
"2011-2-1","1,410.60","1,334.00","1,418.80","1,325.30","2.29M","5.70%"
"2011-1-1","1,334.50","1,416.50","1,423.80","1,309.10","424.08K","-6.19%"
"2010-12-1","1,422.50","1,387.70","1,432.50","1,361.60","2.52M","2.63%"
"2010-11-1","1,386.10","1,359.30","1,425.00","1,327.00","359.87K","2.02%"
"2010-10-1","1,358.70","1,309.60","1,388.10","1,307.30","3.11M","3.75%"
"2010-9-1","1,309.60","1,247.90","1,317.50","1,242.00","298.92K","4.80%"
"2010-8-1","1,249.60","1,182.80","1,244.50","1,175.40","148.99K","5.68%"
"2010-7-1","1,182.40","1,200.00","1,218.20","1,156.40","28.37K","-5.17%"
"2010-6-1","1,246.90","1,216.70","1,266.50","1,198.10","2.40M","2.63%"
"2010-5-1","1,215.00","1,182.00","1,249.10","1,158.50","241.45K","2.84%"
"2010-4-1","1,181.40","1,114.60","1,181.90","1,112.30","2.46M","6.00%"
"2010-3-1","1,114.50","1,118.60","1,145.80","1,086.10","225.33K","-0.45%"
"2010-2-1","1,119.50","1,081.90","1,131.50","1,044.50","3.03M","3.29%"
"2010-1-1","1,083.80","1,095.00","1,162.50","1,074.40","404.24K","-1.19%"
"2009-12-1","1,096.90","1,181.40","1,227.50","1,075.20","3.62M","-7.22%"
"2009-11-1","1,182.30","1,092.90","1,196.80","1,087.80","454.22K","13.58%"
"2009-10-1","1,040.90","1,008.30","1,072.00","987.00","2.76M","3.13%"
"2009-9-1","1,009.30","950.60","1,020.90","950.50","248.99K","5.93%"
"2009-8-1","952.80","954.80","972.70","930.20","94.56K","-0.18%"
"2009-7-1","954.50","933.80","959.30","905.80","21.89K","2.84%"
"2009-6-1","928.10","981.00","992.10","913.20","1.93M","-5.32%"
"2009-5-1","980.30","888.60","982.00","886.30","228.30K","9.90%"
"2009-4-1","892.00","920.00","935.80","865.00","1.50M","-3.57%"
"2009-3-1","925.00","902.00","966.80","884.70","210.76K","-1.96%"
"2009-2-1","943.50","927.00","1,007.70","890.30","1.97M","1.63%"
"2009-1-1","928.40","876.70","931.30","804.60","263.76K","4.93%"
"2008-12-1","884.80","819.00","892.00","741.20","1.66M","8.03%"
"2008-11-1","819.00","739.20","834.00","700.00","128.48K","13.92%"
"2008-10-1","718.90","876.90","936.30","681.00","2.64M","-18.38%"
"2008-9-1","880.80","808.90","932.00","743.50","326.35K","5.71%"
"2008-8-1","833.20","917.70","921.30","774.00","131.19K","-9.24%"
"2008-7-1","918.00","942.80","992.00","897.90","40.50K","-1.35%"
"2008-6-1","930.60","891.30","932.50","859.60","2.23M","4.39%"
"2008-5-1","891.50","867.70","937.30","850.00","260.95K","2.80%"
"2008-4-1","867.20","920.50","956.20","873.40","2.31M","-5.89%"
"2008-3-1","921.50","985.90","1,034.30","908.70","248.14K","-5.73%"
"2008-2-1","977.50","929.80","977.60","888.40","2.17M","5.33%"
"2008-1-1","928.00","847.70","942.20","847.70","234.80K","10.32%"
"2007-12-1","841.20","789.40","838.50","783.00","1.42M","6.60%"
"2007-11-1","789.10","811.50","841.90","778.10","233.65K","-1.18%"
"2007-10-1","798.50","750.60","798.30","726.30","2.13M","6.47%"
